category,city,country,customer_id,customer_name,discount,market,column,order_date,order_id,order_priority,product_id,product_name,profit,quantity,region,sales,segment,ship_date,ship_mode,shipping_cost,state,sub_category,order_year,order_month,order_quarter,order_day_of_week,is_weekend,order_week,discount_bin,profit_margin,sales_per_unit
Office Supplies,Los Angeles,United States,LS-172304,Lycoris Saunders,0.0,Us,1,2011-01-07,CA-2011-130813,High,OFF-PA-10002005,Xerox 225,9.3312,3,West,19,Consumer,2011-01-09,Second Class,4.37,California,Paper,2011,1,1,4,0,1,0-5%,49.11,6.33
Office Supplies,Los Angeles,United States,MV-174854,Mark Van Huff,0.0,Us,1,2011-01-21,CA-2011-148614,Medium,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" X 4""",9.2928,2,West,19,Consumer,2011-01-26,Standard Class,0.94,California,Paper,2011,1,1,4,0,3,0-5%,48.91,9.5
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,0.0,Us,1,2011-08-05,CA-2011-118962,Medium,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Â X 11Â",9.8418,3,West,21,Consumer,2011-08-09,Standard Class,1.81,California,Paper,2011,8,3,4,0,31,0-5%,46.87,7.0
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,0.0,Us,1,2011-08-05,CA-2011-118962,Medium,OFF-PA-10001144,Xerox 1913,53.2608,2,West,111,Consumer,2011-08-09,Standard Class,4.59,California,Paper,2011,8,3,4,0,31,0-5%,47.98,55.5
Office Supplies,Los Angeles,United States,AP-109154,Arthur Prichep,0.0,Us,1,2011-09-29,CA-2011-146969,High,OFF-PA-10002105,Xerox 223,3.1104,1,West,6,Consumer,2011-10-03,Standard Class,1.32,California,Paper,2011,9,3,3,0,39,0-5%,51.84,6.0
Office Supplies,Los Angeles,United States,JF-154904,Jeremy Farry,0.0,Us,1,2011-10-19,CA-2011-117317,Critical,OFF-PA-10004519,Spiral Phone Message Books With Labels By Adams,6.5856,3,West,13,Consumer,2011-10-19,Same Day,2.39,California,Paper,2011,10,4,2,0,42,0-5%,50.66,4.33
Office Supplies,Los Angeles,United States,WB-218504,William Brown,0.0,Us,1,2011-11-04,CA-2011-125829,Medium,OFF-PA-10000223,Xerox 2000,9.3312,3,West,19,Consumer,2011-11-11,Standard Class,1.15,California,Paper,2011,11,4,4,0,44,0-5%,49.11,6.33
Office Supplies,Los Angeles,United States,JA-159704,Joseph Airdo,0.0,Us,1,2011-11-12,CA-2011-151295,High,OFF-PA-10001947,Xerox 1974,5.8604,2,West,12,Consumer,2011-11-16,Standard Class,0.92,California,Paper,2011,11,4,5,1,45,0-5%,48.84,6.0
Office Supplies,Los Angeles,United States,SP-209204,Susan Pistek,0.0,Us,1,2011-11-22,CA-2011-135090,High,OFF-PA-10002245,Xerox 1895,24.219,9,West,54,Consumer,2011-11-26,Standard Class,6.98,California,Paper,2011,11,4,1,0,47,0-5%,44.85,6.0
Office Supplies,Los Angeles,United States,RL-196154,Rob Lucas,0.0,Us,1,2011-12-05,CA-2011-133830,Medium,OFF-PA-10001363,Xerox 1933,23.0864,4,West,49,Consumer,2011-12-10,Standard Class,1.99,California,Paper,2011,12,4,0,0,49,0-5%,47.12,12.25
Office Supplies,Los Angeles,United States,KD-163454,Katherine Ducich,0.0,Us,1,2011-12-13,CA-2011-113579,High,OFF-PA-10001457,White Gluetop Scratch Pads,41.5104,6,West,90,Consumer,2011-12-15,Second Class,8.53,California,Paper,2011,12,4,1,0,50,0-5%,46.12,15.0
Office Supplies,Los Angeles,United States,JM-161954,Justin Mackendrick,0.0,Us,1,2012-02-15,CA-2012-116092,Medium,OFF-PA-10004285,Xerox 1959,6.4128,2,West,13,Consumer,2012-02-18,Second Class,1.0,California,Paper,2012,2,1,2,0,7,0-5%,49.33,6.5
Office Supplies,Los Angeles,United States,JM-161954,Justin Mackendrick,0.0,Us,1,2012-02-15,CA-2012-116092,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,West,19,Consumer,2012-02-18,Second Class,0.06,California,Paper,2012,2,1,2,0,7,0-5%,49.11,6.33
Office Supplies,Los Angeles,United States,RD-195854,Rob Dowd,0.0,Us,1,2012-02-16,CA-2012-121776,High,OFF-PA-10001970,Xerox 1881,17.3148,3,West,37,Consumer,2012-02-21,Standard Class,4.04,California,Paper,2012,2,1,3,0,7,0-5%,46.8,12.33
Office Supplies,Los Angeles,United States,AB-101654,Alan Barnes,0.0,Us,1,2012-03-28,CA-2012-131534,Medium,OFF-PA-10000743,Xerox 1977,16.032,5,West,33,Consumer,2012-04-02,Standard Class,2.25,California,Paper,2012,3,1,2,0,13,0-5%,48.58,6.6
Office Supplies,Los Angeles,United States,AR-105404,Andy Reiter,0.0,Us,1,2012-04-11,US-2012-136987,Medium,OFF-PA-10003127,Staples,24.2696,2,West,53,Consumer,2012-04-14,Second Class,1.59,California,Paper,2012,4,2,2,0,15,0-5%,45.79,26.5
Office Supplies,Los Angeles,United States,LH-171554,Logan Haushalter,0.0,Us,1,2012-06-19,CA-2012-121965,Medium,OFF-PA-10004355,Xerox 231,3.1104,1,West,6,Consumer,2012-06-23,Standard Class,0.52,California,Paper,2012,6,2,1,0,25,0-5%,51.84,6.0
Office Supplies,Los Angeles,United States,AR-105104,Andrew Roberts,0.0,Us,1,2012-08-31,CA-2012-112319,High,OFF-PA-10003441,Xerox 226,27.9936,9,West,58,Consumer,2012-09-05,Standard Class,7.98,California,Paper,2012,8,3,4,0,35,0-5%,48.26,6.44
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,0.0,Us,1,2012-11-22,CA-2012-137708,High,OFF-PA-10000176,Xerox 1887,18.2112,2,West,38,Consumer,2012-11-25,Second Class,3.9,California,Paper,2012,11,4,3,0,47,0-5%,47.92,19.0
